LOCATION,id,quartile
Barking and Dagenham,2035,First Quartile
Barnet,4290,Fourth Quartile
Bexley,2794,Second Quartile
Brent,2585,Second Quartile
Bromley,3626,Third Quartile
Camden,4157,Fourth Quartile
City of London,1062,First Quartile
Croydon,3765,Third Quartile
Ealing,2370,Second Quartile
Enfield,3603,Third Quartile
Greenwich,3032,Third Quartile
Hackney,3935,Fourth Quartile
Hammersmith and Fulham,2332,Second Quartile
Haringey,3590,Third Quartile
Harrow,2015,First Quartile
Havering,2936,Second Quartile
Hillingdon,4192,Fourth Quartile
Hounslow,1582,First Quartile
Islington,3239,Third Quartile
Kensington and Chelsea,2620,Second Quartile
Kingston upon Thames,1395,First Quartile
Lambeth,4817,Fourth Quartile
Lewisham,2356,Second Quartile
Merton,1811,First Quartile
Newham,3808,Fourth Quartile
Redbridge,2166,First Quartile
Richmond upon Thames,1864,First Quartile
Southwark,4142,Fourth Quartile
Sutton,1534,First Quartile
Tower Hamlets,4114,Fourth Quartile
Waltham Forest,2597,Second Quartile
Wandsworth,3702,Third Quartile
Westminster,3712,Third Quartile
